"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes","Election Day Votes","ElectionDay Yes Votes","Election Day No Votes","Mail Votes","Mail Yes Votes","Mail No Votes","Provisional Votes","Provisional Yes Votes","Provisional No Votes"
"2023 Municipal Election","ADAMS","Justice of the Supreme Court","Statewide","Democratic","DANIEL MCCAFFERY","9,210","0","0","4,664","0","0","4,512","0","0","34","0","0"
"2023 Municipal Election","ADAMS","Justice of the Supreme Court","Statewide","Republican","CAROLYN CARLUCCIO","13,643","0","0","11,496","0","0","2,126","0","0","21","0","0"
"2023 Municipal Election","ADAMS","Judge of the Superior Court (Retention)","Statewide","","JACK PANELLA","0","11,624","6,693","0","7,212","5,397","0","4,388","1,284","0","24","12"
"2023 Municipal Election","ADAMS","Judge of the Superior Court (Retention)","Statewide","","VICTOR P STABILE","0","11,088","6,717","0","8,084","4,456","0","2,983","2,245","0","21","16"
"2023 Municipal Election","ADAMS","Judge of the Superior Court","Statewide","Democratic","JILL BECK","9,110","0","0","4,534","0","0","4,544","0","0","32","0","0"
"2023 Municipal Election","ADAMS","Judge of the Superior Court","Statewide","Democratic","TIMIKA LANE","7,712","0","0","3,589","0","0","4,093","0","0","30","0","0"
"2023 Municipal Election","ADAMS","Judge of the Superior Court","Statewide","Republican","MARIA BATTISTA","12,397","0","0","10,459","0","0","1,919","0","0","19","0","0"
"2023 Municipal Election","ADAMS","Judge of the Superior Court","Statewide","Republican","HARRY F SMAIL JR","11,729","0","0","9,932","0","0","1,782","0","0","15","0","0"
"2023 Municipal Election","ADAMS","Judge of the Commonwealth Court","Statewide","Democratic","MATT WOLF","8,864","0","0","4,334","0","0","4,499","0","0","31","0","0"
"2023 Municipal Election","ADAMS","Judge of the Commonwealth Court","Statewide","Republican","MEGAN MARTIN","13,846","0","0","11,741","0","0","2,083","0","0","22","0","0"
"2023 Municipal Election","ALLEGHENY","Justice of the Supreme Court","Statewide","Democratic","DANIEL MCCAFFERY","226,506","0","0","135,677","0","0","89,059","0","0","1,770","0","0"
"2023 Municipal Election","ALLEGHENY","Justice of the Supreme Court","Statewide","Republican","CAROLYN CARLUCCIO","135,158","0","0","113,923","0","0","20,696","0","0","539","0","0"
"2023 Municipal Election","ALLEGHENY","Judge of the Superior Court (Retention)","Statewide","","JACK PANELLA","0","211,499","97,720","0","129,899","77,983","0","80,272","19,140","0","1,328","597"
"2023 Municipal Election","ALLEGHENY","Judge of the Superior Court (Retention)","Statewide","","VICTOR P STABILE","0","183,707","122,060","0","124,140","81,566","0","58,443","39,716","0","1,124","778"
"2023 Municipal Election","ALLEGHENY","Judge of the Superior Court","Statewide","Democratic","JILL BECK","214,090","0","0","125,230","0","0","87,320","0","0","1,540","0","0"
"2023 Municipal Election","ALLEGHENY","Judge of the Superior Court","Statewide","Democratic","TIMIKA LANE","179,783","0","0","103,106","0","0","75,284","0","0","1,393","0","0"
"2023 Municipal Election","ALLEGHENY","Judge of the Superior Court","Statewide","Republican","MARIA BATTISTA","124,208","0","0","103,051","0","0","20,689","0","0","468","0","0"
"2023 Municipal Election","ALLEGHENY","Judge of the Superior Court","Statewide","Republican","HARRY F SMAIL JR","120,326","0","0","101,045","0","0","18,841","0","0","440","0","0"
"2023 Municipal Election","ALLEGHENY","Judge of the Commonwealth Court","Statewide","Democratic","MATT WOLF","221,518","0","0","131,439","0","0","88,320","0","0","1,759","0","0"
"2023 Municipal Election","ALLEGHENY","Judge of the Commonwealth Court","Statewide","Republican","MEGAN MARTIN","139,155","0","0","117,126","0","0","21,478","0","0","551","0","0"
"2023 Municipal Election","ARMSTRONG","Justice of the Supreme Court","Statewide","Democratic","DANIEL MCCAFFERY","5,085","0","0","3,266","0","0","1,809","0","0","10","0","0"
"2023 Municipal Election","ARMSTRONG","Justice of the Supreme Court","Statewide","Republican","CAROLYN CARLUCCIO","11,360","0","0","10,502","0","0","842","0","0","16","0","0"
"2023 Municipal Election","ARMSTRONG","Judge of the Superior Court (Retention)","Statewide","","JACK PANELLA","0","7,258","5,834","0","5,510","5,166","0","1,738","660","0","10","8"
"2023 Municipal Election","ARMSTRONG","Judge of the Superior Court (Retention)","Statewide","","VICTOR P STABILE","0","7,547","5,521","0","6,151","4,551","0","1,387","961","0","9","9"
"2023 Municipal Election","ARMSTRONG","Judge of the Superior Court","Statewide","Democratic","JILL BECK","5,095","0","0","3,223","0","0","1,862","0","0","10","0","0"
"2023 Municipal Election","ARMSTRONG","Judge of the Superior Court","Statewide","Democratic","TIMIKA LANE","3,636","0","0","2,081","0","0","1,547","0","0","8","0","0"
"2023 Municipal Election","ARMSTRONG","Judge of the Superior Court","Statewide","Republican","MARIA BATTISTA","10,439","0","0","9,604","0","0","821","0","0","14","0","0"
"2023 Municipal Election","ARMSTRONG","Judge of the Superior Court","Statewide","Republican","HARRY F SMAIL JR","10,191","0","0","9,378","0","0","799","0","0","14","0","0"
"2023 Municipal Election","ARMSTRONG","Judge of the Commonwealth Court","Statewide","Democratic","MATT WOLF","4,659","0","0","2,849","0","0","1,799","0","0","11","0","0"
"2023 Municipal Election","ARMSTRONG","Judge of the Commonwealth Court","Statewide","Republican","MEGAN MARTIN","11,812","0","0","10,892","0","0","905","0","0","15","0","0"
"2023 Municipal Election","BEAVER","Justice of the Supreme Court","Statewide","Democratic","DANIEL MCCAFFERY","20,534","0","0","13,039","0","0","7,452","0","0","43","0","0"
"2023 Municipal Election","BEAVER","Justice of the Supreme Court","Statewide","Republican","CAROLYN CARLUCCIO","23,214","0","0","20,905","0","0","2,288","0","0","21","0","0"
"2023 Municipal Election","BEAVER","Judge of the Superior Court (Retention)","Statewide","","JACK PANELLA","0","24,910","13,451","0","17,891","11,263","0","6,979","2,172","0","40","16"
"2023 Municipal Election","BEAVER","Judge of the Superior Court (Retention)","Statewide","","VICTOR P STABILE","0","23,342","14,754","0","17,912","11,055","0","5,401","3,673","0","29","26"
"2023 Municipal Election","BEAVER","Judge of the Superior Court","Statewide","Democratic","JILL BECK","19,960","0","0","12,411","0","0","7,513","0","0","36","0","0"
"2023 Municipal Election","BEAVER","Judge of the Superior Court","Statewide","Democratic","TIMIKA LANE","15,671","0","0","9,371","0","0","6,267","0","0","33","0","0"
"2023 Municipal Election","BEAVER","Judge of the Superior Court","Statewide","Republican","MARIA BATTISTA","22,499","0","0","20,079","0","0","2,399","0","0","21","0","0"
"2023 Municipal Election","BEAVER","Judge of the Superior Court","Statewide","Republican","HARRY F SMAIL JR","20,431","0","0","18,409","0","0","2,004","0","0","18","0","0"
"2023 Municipal Election","BEAVER","Judge of the Commonwealth Court","Statewide","Democratic","MATT WOLF","20,038","0","0","12,427","0","0","7,572","0","0","39","0","0"
"2023 Municipal Election","BEAVER","Judge of the Commonwealth Court","Statewide","Republican","MEGAN MARTIN","24,083","0","0","21,729","0","0","2,331","0","0","23","0","0"
"2023 Municipal Election","BEAVER","Judge of the Court of Common Pleas (Retention)","36th Judicial District (Beaver County","","JAMES J ROSS","0","28,675","10,392","0","21,108","8,581","0","7,526","1,796","0","41","15"
"2023 Municipal Election","BEAVER","Judge of the Court of Common Pleas (Retention)","36th Judicial District (Beaver County","","RICHARD MANCINI","0","28,706","10,457","0","21,454","8,376","0","7,212","2,065","0","40","16"
"2023 Municipal Election","BEDFORD","Justice of the Supreme Court","Statewide","Democratic","DANIEL MCCAFFERY","2,251","0","0","1,181","0","0","1,066","0","0","4","0","0"
"2023 Municipal Election","BEDFORD","Justice of the Supreme Court","Statewide","Republican","CAROLYN CARLUCCIO","8,815","0","0","7,799","0","0","1,011","0","0","5","0","0"
"2023 Municipal Election","BEDFORD","Judge of the Superior Court (Retention)","Statewide","","JACK PANELLA","0","5,204","4,144","0","3,874","3,551","0","1,327","588","0","3","5"
"2023 Municipal Election","BEDFORD","Judge of the Superior Court (Retention)","Statewide","","VICTOR P STABILE","0","5,600","3,724","0","4,488","2,959","0","1,107","762","0","5","3"
"2023 Municipal Election","BEDFORD","Judge of the Superior Court","Statewide","Democratic","JILL BECK","2,481","0","0","1,273","0","0","1,205","0","0","3","0","0"
"2023 Municipal Election","BEDFORD","Judge of the Superior Court","Statewide","Democratic","TIMIKA LANE","2,036","0","0","982","0","0","1,051","0","0","3","0","0"
"2023 Municipal Election","BEDFORD","Judge of the Superior Court","Statewide","Republican","MARIA BATTISTA","8,044","0","0","7,143","0","0","896","0","0","5","0","0"
"2023 Municipal Election","BEDFORD","Judge of the Superior Court","Statewide","Republican","HARRY F SMAIL JR","7,308","0","0","6,501","0","0","802","0","0","5","0","0"
"2023 Municipal Election","BEDFORD","Judge of the Commonwealth Court","Statewide","Democratic","MATT WOLF","2,291","0","0","1,162","0","0","1,126","0","0","3","0","0"
"2023 Municipal Election","BEDFORD","Judge of the Commonwealth Court","Statewide","Republican","MEGAN MARTIN","8,693","0","0","7,749","0","0","938","0","0","6","0","0"
"2023 Municipal Election","BERKS","Justice of the Supreme Court","Statewide","Democratic","DANIEL MCCAFFERY","42,347","0","0","27,090","0","0","15,068","0","0","189","0","0"
"2023 Municipal Election","BERKS","Justice of the Supreme Court","Statewide","Republican","CAROLYN CARLUCCIO","40,052","0","0","36,143","0","0","3,836","0","0","73","0","0"
"2023 Municipal Election","BERKS","Judge of the Superior Court (Retention)","Statewide","","JACK PANELLA","0","46,101","23,765","0","31,624","20,299","0","14,321","3,406","0","156","60"
"2023 Municipal Election","BERKS","Judge of the Superior Court (Retention)","Statewide","","VICTOR P STABILE","0","43,227","25,782","0","32,836","18,595","0","10,262","7,107","0","129","80"
"2023 Municipal Election","BERKS","Judge of the Superior Court","Statewide","Democratic","JILL BECK","39,161","0","0","24,564","0","0","14,438","0","0","159","0","0"
"2023 Municipal Election","BERKS","Judge of the Superior Court","Statewide","Democratic","TIMIKA LANE","35,469","0","0","21,901","0","0","13,415","0","0","153","0","0"
"2023 Municipal Election","BERKS","Judge of the Superior Court","Statewide","Republican","MARIA BATTISTA","38,407","0","0","34,374","0","0","3,964","0","0","69","0","0"
"2023 Municipal Election","BERKS","Judge of the Superior Court","Statewide","Republican","HARRY F SMAIL JR","36,141","0","0","32,273","0","0","3,813","0","0","55","0","0"
"2023 Municipal Election","BERKS","Judge of the Commonwealth Court","Statewide","Democratic","MATT WOLF","40,370","0","0","25,565","0","0","14,614","0","0","191","0","0"
"2023 Municipal Election","BERKS","Judge of the Commonwealth Court","Statewide","Republican","MEGAN MARTIN","41,420","0","0","37,122","0","0","4,223","0","0","75","0","0"
"2023 Municipal Election","BERKS","Judge of the Court of Common Pleas (Retention)","23rd Judicial District (Berks County)","","MADELYN S FUDEMAN","0","45,819","24,299","0","34,239","17,982","0","11,438","6,245","0","142","72"
"2023 Municipal Election","BERKS","Judge of the Court of Common Pleas (Retention)","23rd Judicial District (Berks County)","","THERESA JOHNSON","0","50,283","19,808","0","35,406","16,720","0","14,708","3,040","0","169","48"
"2023 Municipal Election","BERKS","Judge of the Court of Common Pleas","23rd Judicial District (Berks County)","Democratic / Republican","JILL SCHEIDT","57,210","0","0","42,426","0","0","14,595","0","0","189","0","0"
"2023 Municipal Election","BERKS","Judge of the Court of Common Pleas","23rd Judicial District (Berks County)","Democratic / Republican","JUSTIN D BODOR","49,053","0","0","35,766","0","0","13,131","0","0","156","0","0"
"2023 Municipal Election","BLAIR","Justice of the Supreme Court","Statewide","Democratic","DANIEL MCCAFFERY","7,531","0","0","4,183","0","0","3,325","0","0","23","0","0"
"2023 Municipal Election","BLAIR","Justice of the Supreme Court","Statewide","Republican","CAROLYN CARLUCCIO","18,196","0","0","15,749","0","0","2,428","0","0","19","0","0"
"2023 Municipal Election","BLAIR","Judge of the Superior Court (Retention)","Statewide","","JACK PANELLA","0","14,724","7,414","0","10,857","6,207","0","3,847","1,195","0","20","12"
"2023 Municipal Election","BLAIR","Judge of the Superior Court (Retention)","Statewide","","VICTOR P STABILE","0","15,031","7,010","0","11,680","5,327","0","3,334","1,667","0","17","16"
"2023 Municipal Election","BLAIR","Judge of the Superior Court","Statewide","Democratic","JILL BECK","7,845","0","0","4,274","0","0","3,553","0","0","18","0","0"
"2023 Municipal Election","BLAIR","Judge of the Superior Court","Statewide","Democratic","TIMIKA LANE","6,531","0","0","3,449","0","0","3,064","0","0","18","0","0"
"2023 Municipal Election","BLAIR","Judge of the Superior Court","Statewide","Republican","MARIA BATTISTA","16,324","0","0","14,240","0","0","2,066","0","0","18","0","0"
"2023 Municipal Election","BLAIR","Judge of the Superior Court","Statewide","Republican","HARRY F SMAIL JR","15,322","0","0","13,339","0","0","1,965","0","0","18","0","0"
"2023 Municipal Election","BLAIR","Judge of the Commonwealth Court","Statewide","Democratic","MATT WOLF","7,748","0","0","4,242","0","0","3,486","0","0","20","0","0"
"2023 Municipal Election","BLAIR","Judge of the Commonwealth Court","Statewide","Republican","MEGAN MARTIN","17,809","0","0","15,542","0","0","2,247","0","0","20","0","0"
"2023 Municipal Election","BLAIR","Judge of the Court of Common Pleas (Retention)","24th Judicial District (Blair County)","","ELIZABETH A DOYLE","0","11,898","12,377","0","7,936","10,823","0","3,942","1,537","0","20","17"
"2023 Municipal Election","BLAIR","Judge of the Court of Common Pleas (Retention)","24th Judicial District (Blair County)","","WADE A KAGARISE","0","18,755","4,983","0","14,627","3,688","0","4,103","1,286","0","25","9"
"2023 Municipal Election","BLAIR","Judge of the Court of Common Pleas","24th Judicial District (Blair County)","Democratic / Republican","DAVID CONSIGLIO","17,681","0","0","13,514","0","0","4,140","0","0","27","0","0"
"2023 Municipal Election","BLAIR","Judge of the Court of Common Pleas","24th Judicial District (Blair County)","Democratic / Republican","FRED B MILLER","17,368","0","0","13,405","0","0","3,938","0","0","25","0","0"
