"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes","Election Day Votes","ElectionDay Yes Votes","Election Day No Votes","Mail Votes","Mail Yes Votes","Mail No Votes","Provisional Votes","Provisional Yes Votes","Provisional No Votes"
"2000 General Election","ADAMS","Auditor General","StateWide","Republican","","17,320","17,320","","","","","","","","","",""
"2000 General Election","ADAMS","Auditor General","StateWide","Democratic","","14,301","14,301","","","","","","","","","",""
"2000 General Election","ADAMS","Auditor General","StateWide","Constitution","","129","129","","","","","","","","","",""
"2000 General Election","ADAMS","Auditor General","StateWide","Libertarian","","327","327","","","","","","","","","",""
"2000 General Election","ADAMS","Auditor General","StateWide","Green","","420","420","","","","","","","","","",""
"2000 General Election","ADAMS","Auditor General","StateWide","Reform","","169","169","","","","","","","","","",""
"2000 General Election","ADAMS","State Treasurer","StateWide","Republican","","20,207","20,207","","","","","","","","","",""
"2000 General Election","ADAMS","State Treasurer","StateWide","Democratic","","11,006","11,006","","","","","","","","","",""
"2000 General Election","ADAMS","State Treasurer","StateWide","Constitution","","356","356","","","","","","","","","",""
"2000 General Election","ADAMS","State Treasurer","StateWide","Libertarian","","222","222","","","","","","","","","",""
"2000 General Election","ADAMS","State Treasurer","StateWide","Green","","607","607","","","","","","","","","",""
"2000 General Election","ADAMS","State Treasurer","StateWide","Reform","","199","199","","","","","","","","","",""
"2000 General Election","ALLEGHENY","Auditor General","StateWide","Republican","","182,838","182,838","","","","","","","","","",""
"2000 General Election","ALLEGHENY","Auditor General","StateWide","Democratic","","338,209","338,209","","","","","","","","","",""
"2000 General Election","ALLEGHENY","Auditor General","StateWide","Constitution","","4,058","4,058","","","","","","","","","",""
"2000 General Election","ALLEGHENY","Auditor General","StateWide","Libertarian","","4,604","4,604","","","","","","","","","",""
"2000 General Election","ALLEGHENY","Auditor General","StateWide","Green","","7,348","7,348","","","","","","","","","",""
"2000 General Election","ALLEGHENY","Auditor General","StateWide","Reform","","2,464","2,464","","","","","","","","","",""
"2000 General Election","ALLEGHENY","State Treasurer","StateWide","Republican","","253,619","253,619","","","","","","","","","",""
"2000 General Election","ALLEGHENY","State Treasurer","StateWide","Democratic","","286,470","286,470","","","","","","","","","",""
"2000 General Election","ALLEGHENY","State Treasurer","StateWide","Constitution","","5,590","5,590","","","","","","","","","",""
"2000 General Election","ALLEGHENY","State Treasurer","StateWide","Libertarian","","2,894","2,894","","","","","","","","","",""
"2000 General Election","ALLEGHENY","State Treasurer","StateWide","Green","","7,114","7,114","","","","","","","","","",""
"2000 General Election","ALLEGHENY","State Treasurer","StateWide","Reform","","2,047","2,047","","","","","","","","","",""
"2000 General Election","ARMSTRONG","Auditor General","StateWide","Republican","","11,750","11,750","","","","","","","","","",""
"2000 General Election","ARMSTRONG","Auditor General","StateWide","Democratic","","14,181","14,181","","","","","","","","","",""
"2000 General Election","ARMSTRONG","Auditor General","StateWide","Constitution","","180","180","","","","","","","","","",""
"2000 General Election","ARMSTRONG","Auditor General","StateWide","Libertarian","","287","287","","","","","","","","","",""
"2000 General Election","ARMSTRONG","Auditor General","StateWide","Green","","267","267","","","","","","","","","",""
"2000 General Election","ARMSTRONG","Auditor General","StateWide","Reform","","380","380","","","","","","","","","",""
"2000 General Election","ARMSTRONG","State Treasurer","StateWide","Republican","","14,420","14,420","","","","","","","","","",""
"2000 General Election","ARMSTRONG","State Treasurer","StateWide","Democratic","","11,821","11,821","","","","","","","","","",""
"2000 General Election","ARMSTRONG","State Treasurer","StateWide","Constitution","","281","281","","","","","","","","","",""
"2000 General Election","ARMSTRONG","State Treasurer","StateWide","Libertarian","","141","141","","","","","","","","","",""
"2000 General Election","ARMSTRONG","State Treasurer","StateWide","Green","","326","326","","","","","","","","","",""
"2000 General Election","ARMSTRONG","State Treasurer","StateWide","Reform","","249","249","","","","","","","","","",""
"2000 General Election","BEAVER","Auditor General","StateWide","Republican","","23,669","23,669","","","","","","","","","",""
"2000 General Election","BEAVER","Auditor General","StateWide","Democratic","","48,779","48,779","","","","","","","","","",""
