"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes","Election Day Votes","ElectionDay Yes Votes","Election Day No Votes","Mail Votes","Mail Yes Votes","Mail No Votes","Provisional Votes","Provisional Yes Votes","Provisional No Votes"
"2020 Presidential Election","ADAMS","President of the United States","Statewide","Democratic","JOSEPH R BIDEN","18,207","0","0","6,611","0","0","11,436","0","0","160","0","0"
"2020 Presidential Election","ADAMS","President of the United States","Statewide","Republican","DONALD J TRUMP","37,523","0","0","29,942","0","0","7,148","0","0","433","0","0"
"2020 Presidential Election","ADAMS","President of the United States","Statewide","Libertarian","JO JORGENSEN","810","0","0","544","0","0","256","0","0","10","0","0"
"2020 Presidential Election","ADAMS","Attorney General","Statewide","Democratic","JOSH SHAPIRO","17,707","0","0","6,759","0","0","10,798","0","0","150","0","0"
"2020 Presidential Election","ADAMS","State Treasurer","Statewide","Democratic","JOE TORSELLA","16,418","0","0","6,070","0","0","10,210","0","0","138","0","0"
"2020 Presidential Election","ADAMS","Auditor General","Statewide","Democratic","NINA AHMAD","15,859","0","0","5,688","0","0","10,039","0","0","132","0","0"
"2020 Presidential Election","ADAMS","Attorney General","Statewide","Republican","HEATHER HEIDELBAUGH","36,476","0","0","28,696","0","0","7,368","0","0","412","0","0"
"2020 Presidential Election","ADAMS","State Treasurer","Statewide","Republican","STACY L GARRITY","37,087","0","0","29,017","0","0","7,657","0","0","413","0","0"
"2020 Presidential Election","ADAMS","Auditor General","Statewide","Republican","TIMOTHY DEFOOR","37,076","0","0","29,003","0","0","7,658","0","0","415","0","0"
"2020 Presidential Election","ADAMS","Attorney General","Statewide","Libertarian","DANIEL WASSMER","1,183","0","0","853","0","0","316","0","0","14","0","0"
"2020 Presidential Election","ADAMS","Auditor General","Statewide","Libertarian","JENNIFER MOORE","2,010","0","0","1,415","0","0","572","0","0","23","0","0"
"2020 Presidential Election","ADAMS","State Treasurer","Statewide","Libertarian","JOE SOLOSKI","1,385","0","0","972","0","0","393","0","0","20","0","0"
"2020 Presidential Election","ADAMS","Attorney General","Statewide","Green","RICHARD L WEISS","518","0","0","300","0","0","210","0","0","8","0","0"
"2020 Presidential Election","ADAMS","Auditor General","Statewide","Green","OLIVIA FAISON","609","0","0","342","0","0","260","0","0","7","0","0"
"2020 Presidential Election","ADAMS","State Treasurer","Statewide","Green","TIMOTHY RUNKLE","795","0","0","458","0","0","327","0","0","10","0","0"
"2020 Presidential Election","ALLEGHENY","President of the United States","Statewide","Democratic","JOSEPH R BIDEN","429,065","0","0","148,171","0","0","273,080","0","0","7,814","0","0"
"2020 Presidential Election","ALLEGHENY","President of the United States","Statewide","Republican","DONALD J TRUMP","282,324","0","0","209,459","0","0","66,575","0","0","6,290","0","0"
"2020 Presidential Election","ALLEGHENY","President of the United States","Statewide","Libertarian","JO JORGENSEN","8,344","0","0","5,085","0","0","3,076","0","0","183","0","0"
"2020 Presidential Election","ALLEGHENY","Attorney General","Statewide","Democratic","JOSH SHAPIRO","443,523","0","0","161,321","0","0","274,082","0","0","8,120","0","0"
"2020 Presidential Election","ALLEGHENY","State Treasurer","Statewide","Democratic","JOE TORSELLA","404,138","0","0","144,007","0","0","252,686","0","0","7,445","0","0"
"2020 Presidential Election","ALLEGHENY","Auditor General","Statewide","Democratic","NINA AHMAD","397,204","0","0","139,101","0","0","250,774","0","0","7,329","0","0"
"2020 Presidential Election","ALLEGHENY","Attorney General","Statewide","Republican","HEATHER HEIDELBAUGH","246,537","0","0","183,538","0","0","57,720","0","0","5,279","0","0"
"2020 Presidential Election","ALLEGHENY","State Treasurer","Statewide","Republican","STACY L GARRITY","270,964","0","0","194,960","0","0","70,318","0","0","5,686","0","0"
"2020 Presidential Election","ALLEGHENY","Auditor General","Statewide","Republican","TIMOTHY DEFOOR","275,870","0","0","197,572","0","0","72,588","0","0","5,710","0","0"
"2020 Presidential Election","ALLEGHENY","Attorney General","Statewide","Libertarian","DANIEL WASSMER","13,619","0","0","8,948","0","0","4,337","0","0","334","0","0"
"2020 Presidential Election","ALLEGHENY","Auditor General","Statewide","Libertarian","JENNIFER MOORE","21,166","0","0","13,355","0","0","7,288","0","0","523","0","0"
"2020 Presidential Election","ALLEGHENY","State Treasurer","Statewide","Libertarian","JOE SOLOSKI","17,176","0","0","10,838","0","0","5,925","0","0","413","0","0"
"2020 Presidential Election","ALLEGHENY","Attorney General","Statewide","Green","RICHARD L WEISS","9,236","0","0","4,317","0","0","4,695","0","0","224","0","0"
"2020 Presidential Election","ALLEGHENY","Auditor General","Statewide","Green","OLIVIA FAISON","9,967","0","0","4,582","0","0","5,151","0","0","234","0","0"
"2020 Presidential Election","ALLEGHENY","State Treasurer","Statewide","Green","TIMOTHY RUNKLE","10,711","0","0","4,479","0","0","6,005","0","0","227","0","0"
"2020 Presidential Election","ARMSTRONG","President of the United States","Statewide","Democratic","JOSEPH R BIDEN","8,457","0","0","4,275","0","0","4,108","0","0","74","0","0"
"2020 Presidential Election","ARMSTRONG","President of the United States","Statewide","Republican","DONALD J TRUMP","27,489","0","0","24,233","0","0","2,917","0","0","339","0","0"
"2020 Presidential Election","ARMSTRONG","President of the United States","Statewide","Libertarian","JO JORGENSEN","424","0","0","340","0","0","78","0","0","6","0","0"
"2020 Presidential Election","ARMSTRONG","Attorney General","Statewide","Democratic","JOSH SHAPIRO","10,673","0","0","6,097","0","0","4,464","0","0","112","0","0"
"2020 Presidential Election","ARMSTRONG","State Treasurer","Statewide","Democratic","JOE TORSELLA","8,756","0","0","4,777","0","0","3,890","0","0","89","0","0"
"2020 Presidential Election","ARMSTRONG","Auditor General","Statewide","Democratic","NINA AHMAD","8,231","0","0","4,297","0","0","3,854","0","0","80","0","0"
"2020 Presidential Election","ARMSTRONG","Attorney General","Statewide","Republican","HEATHER HEIDELBAUGH","24,569","0","0","21,817","0","0","2,453","0","0","299","0","0"
"2020 Presidential Election","ARMSTRONG","State Treasurer","Statewide","Republican","STACY L GARRITY","25,875","0","0","22,704","0","0","2,861","0","0","310","0","0"
"2020 Presidential Election","ARMSTRONG","Auditor General","Statewide","Republican","TIMOTHY DEFOOR","26,089","0","0","22,903","0","0","2,874","0","0","312","0","0"
"2020 Presidential Election","ARMSTRONG","Attorney General","Statewide","Libertarian","DANIEL WASSMER","609","0","0","514","0","0","90","0","0","5","0","0"
"2020 Presidential Election","ARMSTRONG","Auditor General","Statewide","Libertarian","JENNIFER MOORE","1,213","0","0","977","0","0","222","0","0","14","0","0"
"2020 Presidential Election","ARMSTRONG","State Treasurer","Statewide","Libertarian","JOE SOLOSKI","1,009","0","0","809","0","0","185","0","0","15","0","0"
"2020 Presidential Election","ARMSTRONG","Attorney General","Statewide","Green","RICHARD L WEISS","242","0","0","175","0","0","66","0","0","1","0","0"
"2020 Presidential Election","ARMSTRONG","Auditor General","Statewide","Green","OLIVIA FAISON","277","0","0","206","0","0","66","0","0","5","0","0"
"2020 Presidential Election","ARMSTRONG","State Treasurer","Statewide","Green","TIMOTHY RUNKLE","262","0","0","171","0","0","89","0","0","2","0","0"
"2020 Presidential Election","BEAVER","President of the United States","Statewide","Democratic","JOSEPH R BIDEN","38,122","0","0","17,304","0","0","20,153","0","0","665","0","0"
"2020 Presidential Election","BEAVER","President of the United States","Statewide","Republican","DONALD J TRUMP","54,759","0","0","45,464","0","0","8,468","0","0","827","0","0"
"2020 Presidential Election","BEAVER","President of the United States","Statewide","Libertarian","JO JORGENSEN","1,241","0","0","851","0","0","372","0","0","18","0","0"
"2020 Presidential Election","BEAVER","Attorney General","Statewide","Democratic","JOSH SHAPIRO","43,446","0","0","21,432","0","0","21,274","0","0","740","0","0"
"2020 Presidential Election","BEAVER","State Treasurer","Statewide","Democratic","JOE TORSELLA","38,214","0","0","18,324","0","0","19,214","0","0","676","0","0"
"2020 Presidential Election","BEAVER","Auditor General","Statewide","Democratic","NINA AHMAD","36,281","0","0","17,040","0","0","18,581","0","0","660","0","0"
"2020 Presidential Election","BEAVER","Attorney General","Statewide","Republican","HEATHER HEIDELBAUGH","47,316","0","0","39,709","0","0","6,920","0","0","687","0","0"
"2020 Presidential Election","BEAVER","State Treasurer","Statewide","Republican","STACY L GARRITY","51,292","0","0","42,049","0","0","8,510","0","0","733","0","0"
"2020 Presidential Election","BEAVER","Auditor General","Statewide","Republican","TIMOTHY DEFOOR","52,045","0","0","42,466","0","0","8,840","0","0","739","0","0"
"2020 Presidential Election","BEAVER","Attorney General","Statewide","Libertarian","DANIEL WASSMER","1,817","0","0","1,360","0","0","413","0","0","44","0","0"
"2020 Presidential Election","BEAVER","Auditor General","Statewide","Libertarian","JENNIFER MOORE","3,562","0","0","2,628","0","0","873","0","0","61","0","0"
"2020 Presidential Election","BEAVER","State Treasurer","Statewide","Libertarian","JOE SOLOSKI","2,421","0","0","1,796","0","0","575","0","0","50","0","0"
"2020 Presidential Election","BEAVER","Attorney General","Statewide","Green","RICHARD L WEISS","897","0","0","598","0","0","282","0","0","17","0","0"
"2020 Presidential Election","BEAVER","Auditor General","Statewide","Green","OLIVIA FAISON","1,096","0","0","679","0","0","395","0","0","22","0","0"
"2020 Presidential Election","BEAVER","State Treasurer","Statewide","Green","TIMOTHY RUNKLE","1,106","0","0","674","0","0","413","0","0","19","0","0"
"2020 Presidential Election","BEDFORD","President of the United States","Statewide","Democratic","JOSEPH R BIDEN","4,367","0","0","1,822","0","0","2,498","0","0","47","0","0"
"2020 Presidential Election","BEDFORD","President of the United States","Statewide","Republican","DONALD J TRUMP","23,025","0","0","19,637","0","0","3,027","0","0","361","0","0"
"2020 Presidential Election","BEDFORD","President of the United States","Statewide","Libertarian","JO JORGENSEN","182","0","0","121","0","0","59","0","0","2","0","0"
"2020 Presidential Election","BEDFORD","Attorney General","Statewide","Democratic","JOSH SHAPIRO","4,743","0","0","2,194","0","0","2,492","0","0","57","0","0"
"2020 Presidential Election","BEDFORD","State Treasurer","Statewide","Democratic","JOE TORSELLA","4,351","0","0","1,996","0","0","2,305","0","0","50","0","0"
"2020 Presidential Election","BEDFORD","Auditor General","Statewide","Democratic","NINA AHMAD","3,801","0","0","1,570","0","0","2,194","0","0","37","0","0"
"2020 Presidential Election","BEDFORD","Attorney General","Statewide","Republican","HEATHER HEIDELBAUGH","22,088","0","0","18,811","0","0","2,936","0","0","341","0","0"
"2020 Presidential Election","BEDFORD","State Treasurer","Statewide","Republican","STACY L GARRITY","22,272","0","0","18,878","0","0","3,051","0","0","343","0","0"
"2020 Presidential Election","BEDFORD","Auditor General","Statewide","Republican","TIMOTHY DEFOOR","22,524","0","0","19,063","0","0","3,113","0","0","348","0","0"
"2020 Presidential Election","BEDFORD","Attorney General","Statewide","Libertarian","DANIEL WASSMER","312","0","0","254","0","0","56","0","0","2","0","0"
"2020 Presidential Election","BEDFORD","Auditor General","Statewide","Libertarian","JENNIFER MOORE","623","0","0","484","0","0","127","0","0","12","0","0"
"2020 Presidential Election","BEDFORD","State Treasurer","Statewide","Libertarian","JOE SOLOSKI","383","0","0","303","0","0","77","0","0","3","0","0"
"2020 Presidential Election","BEDFORD","Attorney General","Statewide","Green","RICHARD L WEISS","134","0","0","88","0","0","43","0","0","3","0","0"
"2020 Presidential Election","BEDFORD","Auditor General","Statewide","Green","OLIVIA FAISON","169","0","0","112","0","0","54","0","0","3","0","0"
"2020 Presidential Election","BEDFORD","State Treasurer","Statewide","Green","TIMOTHY RUNKLE","167","0","0","101","0","0","63","0","0","3","0","0"
"2020 Presidential Election","BERKS","President of the United States","Statewide","Democratic","JOSEPH R BIDEN","92,895","0","0","43,533","0","0","47,364","0","0","1,998","0","0"
"2020 Presidential Election","BERKS","President of the United States","Statewide","Republican","DONALD J TRUMP","109,736","0","0","90,579","0","0","17,037","0","0","2,120","0","0"
"2020 Presidential Election","BERKS","President of the United States","Statewide","Libertarian","JO JORGENSEN","2,909","0","0","2,058","0","0","778","0","0","73","0","0"
