"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes","Election Day Votes","ElectionDay Yes Votes","Election Day No Votes","Mail Votes","Mail Yes Votes","Mail No Votes","Provisional Votes","Provisional Yes Votes","Provisional No Votes"
"2008 General Election","ADAMS","Auditor General","StateWide","Democratic","","17,894","0","0","","","","","","","","",""
"2008 General Election","ADAMS","Auditor General","StateWide","Republican","","22,472","0","0","","","","","","","","",""
"2008 General Election","ADAMS","Auditor General","StateWide","Libertarian","","2,400","0","0","","","","","","","","",""
"2008 General Election","ADAMS","State Treasurer","StateWide","Democratic","","16,633","0","0","","","","","","","","",""
"2008 General Election","ADAMS","State Treasurer","StateWide","Republican","","24,949","0","0","","","","","","","","",""
"2008 General Election","ADAMS","State Treasurer","StateWide","Libertarian","","1,301","0","0","","","","","","","","",""
"2008 General Election","ALLEGHENY","Auditor General","StateWide","Democratic","","442,486","0","0","","","","","","","","",""
"2008 General Election","ALLEGHENY","Auditor General","StateWide","Republican","","159,479","0","0","","","","","","","","",""
"2008 General Election","ALLEGHENY","Auditor General","StateWide","Libertarian","","19,047","0","0","","","","","","","","",""
"2008 General Election","ALLEGHENY","State Treasurer","StateWide","Democratic","","376,906","0","0","","","","","","","","",""
"2008 General Election","ALLEGHENY","State Treasurer","StateWide","Republican","","221,276","0","0","","","","","","","","",""
"2008 General Election","ALLEGHENY","State Treasurer","StateWide","Libertarian","","15,583","0","0","","","","","","","","",""
"2008 General Election","ARMSTRONG","Auditor General","StateWide","Democratic","","16,328","0","0","","","","","","","","",""
"2008 General Election","ARMSTRONG","Auditor General","StateWide","Republican","","11,980","0","0","","","","","","","","",""
"2008 General Election","ARMSTRONG","Auditor General","StateWide","Libertarian","","1,133","0","0","","","","","","","","",""
"2008 General Election","ARMSTRONG","State Treasurer","StateWide","Democratic","","13,210","0","0","","","","","","","","",""
"2008 General Election","ARMSTRONG","State Treasurer","StateWide","Republican","","15,416","0","0","","","","","","","","",""
"2008 General Election","ARMSTRONG","State Treasurer","StateWide","Libertarian","","787","0","0","","","","","","","","",""
"2008 General Election","BEAVER","Auditor General","StateWide","Democratic","","52,242","0","0","","","","","","","","",""
"2008 General Election","BEAVER","Auditor General","StateWide","Republican","","25,290","0","0","","","","","","","","",""
"2008 General Election","BEAVER","Auditor General","StateWide","Libertarian","","3,671","0","0","","","","","","","","",""
"2008 General Election","BEAVER","State Treasurer","StateWide","Democratic","","45,265","0","0","","","","","","","","",""
"2008 General Election","BEAVER","State Treasurer","StateWide","Republican","","32,997","0","0","","","","","","","","",""
"2008 General Election","BEAVER","State Treasurer","StateWide","Libertarian","","2,556","0","0","","","","","","","","",""
"2008 General Election","BEDFORD","Auditor General","StateWide","Democratic","","8,051","0","0","","","","","","","","",""
"2008 General Election","BEDFORD","Auditor General","StateWide","Republican","","12,677","0","0","","","","","","","","",""
"2008 General Election","BEDFORD","Auditor General","StateWide","Libertarian","","1,037","0","0","","","","","","","","",""
"2008 General Election","BEDFORD","State Treasurer","StateWide","Democratic","","7,271","0","0","","","","","","","","",""
"2008 General Election","BEDFORD","State Treasurer","StateWide","Republican","","14,047","0","0","","","","","","","","",""
"2008 General Election","BEDFORD","State Treasurer","StateWide","Libertarian","","469","0","0","","","","","","","","",""
"2008 General Election","BERKS","Auditor General","StateWide","Democratic","","93,307","0","0","","","","","","","","",""
"2008 General Election","BERKS","Auditor General","StateWide","Republican","","69,456","0","0","","","","","","","","",""
