"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes","Election Day Votes","ElectionDay Yes Votes","Election Day No Votes","Mail Votes","Mail Yes Votes","Mail No Votes","Provisional Votes","Provisional Yes Votes","Provisional No Votes"
"2018 General Election","ADAMS","United States Senator","Statewide","Democratic","BOB CASEY JR","14,880","0","0","","","","","","","","",""
"2018 General Election","ADAMS","United States Senator","Statewide","Republican","LOU BARLETTA","23,419","0","0","","","","","","","","",""
"2018 General Election","ADAMS","United States Senator","Statewide","Green","NEAL GALE","292","0","0","","","","","","","","",""
"2018 General Election","ADAMS","United States Senator","Statewide","Libertarian","DALE R KERNS JR","511","0","0","","","","","","","","",""
"2018 General Election","ADAMS","Governor","Statewide","Democratic","TOM WOLF","15,862","0","0","","","","","","","","",""
"2018 General Election","ADAMS","Governor","Statewide","Republican","SCOTT R WAGNER","22,501","0","0","","","","","","","","",""
"2018 General Election","ADAMS","Governor","Statewide","Green","PAUL GLOVER","255","0","0","","","","","","","","",""
"2018 General Election","ADAMS","Governor","Statewide","Libertarian","KEN V KRAWCHUK","435","0","0","","","","","","","","",""
"2018 General Election","ALLEGHENY","United States Senator","Statewide","Democratic","BOB CASEY JR","355,907","0","0","","","","","","","","",""
"2018 General Election","ALLEGHENY","United States Senator","Statewide","Republican","LOU BARLETTA","176,351","0","0","","","","","","","","",""
"2018 General Election","ALLEGHENY","United States Senator","Statewide","Green","NEAL GALE","3,240","0","0","","","","","","","","",""
"2018 General Election","ALLEGHENY","United States Senator","Statewide","Libertarian","DALE R KERNS JR","6,205","0","0","","","","","","","","",""
"2018 General Election","ALLEGHENY","Governor","Statewide","Democratic","TOM WOLF","364,710","0","0","","","","","","","","",""
"2018 General Election","ALLEGHENY","Governor","Statewide","Republican","SCOTT R WAGNER","168,893","0","0","","","","","","","","",""
"2018 General Election","ALLEGHENY","Governor","Statewide","Green","PAUL GLOVER","2,458","0","0","","","","","","","","",""
"2018 General Election","ALLEGHENY","Governor","Statewide","Libertarian","KEN V KRAWCHUK","5,244","0","0","","","","","","","","",""
"2018 General Election","ARMSTRONG","United States Senator","Statewide","Democratic","BOB CASEY JR","8,570","0","0","","","","","","","","",""
"2018 General Election","ARMSTRONG","United States Senator","Statewide","Republican","LOU BARLETTA","15,449","0","0","","","","","","","","",""
"2018 General Election","ARMSTRONG","United States Senator","Statewide","Green","NEAL GALE","159","0","0","","","","","","","","",""
"2018 General Election","ARMSTRONG","United States Senator","Statewide","Libertarian","DALE R KERNS JR","310","0","0","","","","","","","","",""
"2018 General Election","ARMSTRONG","Governor","Statewide","Democratic","TOM WOLF","8,839","0","0","","","","","","","","",""
"2018 General Election","ARMSTRONG","Governor","Statewide","Republican","SCOTT R WAGNER","15,373","0","0","","","","","","","","",""
"2018 General Election","ARMSTRONG","Governor","Statewide","Green","PAUL GLOVER","153","0","0","","","","","","","","",""
"2018 General Election","ARMSTRONG","Governor","Statewide","Libertarian","KEN V KRAWCHUK","278","0","0","","","","","","","","",""
"2018 General Election","BEAVER","United States Senator","Statewide","Democratic","BOB CASEY JR","34,442","0","0","","","","","","","","",""
"2018 General Election","BEAVER","United States Senator","Statewide","Republican","LOU BARLETTA","31,916","0","0","","","","","","","","",""
"2018 General Election","BEAVER","United States Senator","Statewide","Green","NEAL GALE","437","0","0","","","","","","","","",""
"2018 General Election","BEAVER","United States Senator","Statewide","Libertarian","DALE R KERNS JR","847","0","0","","","","","","","","",""
"2018 General Election","BEAVER","Governor","Statewide","Democratic","TOM WOLF","36,166","0","0","","","","","","","","",""
"2018 General Election","BEAVER","Governor","Statewide","Republican","SCOTT R WAGNER","30,593","0","0","","","","","","","","",""
"2018 General Election","BEAVER","Governor","Statewide","Green","PAUL GLOVER","406","0","0","","","","","","","","",""
"2018 General Election","BEAVER","Governor","Statewide","Libertarian","KEN V KRAWCHUK","711","0","0","","","","","","","","",""
"2018 General Election","BEDFORD","United States Senator","Statewide","Democratic","BOB CASEY JR","4,567","0","0","","","","","","","","",""
"2018 General Election","BEDFORD","United States Senator","Statewide","Republican","LOU BARLETTA","14,044","0","0","","","","","","","","",""
"2018 General Election","BEDFORD","United States Senator","Statewide","Green","NEAL GALE","83","0","0","","","","","","","","",""
"2018 General Election","BEDFORD","United States Senator","Statewide","Libertarian","DALE R KERNS JR","129","0","0","","","","","","","","",""
"2018 General Election","BEDFORD","Governor","Statewide","Democratic","TOM WOLF","4,408","0","0","","","","","","","","",""
"2018 General Election","BEDFORD","Governor","Statewide","Republican","SCOTT R WAGNER","14,261","0","0","","","","","","","","",""
"2018 General Election","BEDFORD","Governor","Statewide","Green","PAUL GLOVER","84","0","0","","","","","","","","",""
"2018 General Election","BEDFORD","Governor","Statewide","Libertarian","KEN V KRAWCHUK","110","0","0","","","","","","","","",""
"2018 General Election","BERKS","United States Senator","Statewide","Democratic","BOB CASEY JR","73,714","0","0","","","","","","","","",""
"2018 General Election","BERKS","United States Senator","Statewide","Republican","LOU BARLETTA","68,159","0","0","","","","","","","","",""
"2018 General Election","BERKS","United States Senator","Statewide","Green","NEAL GALE","977","0","0","","","","","","","","",""
"2018 General Election","BERKS","United States Senator","Statewide","Libertarian","DALE R KERNS JR","1,683","0","0","","","","","","","","",""
"2018 General Election","BERKS","Governor","Statewide","Democratic","TOM WOLF","76,136","0","0","","","","","","","","",""
"2018 General Election","BERKS","Governor","Statewide","Republican","SCOTT R WAGNER","65,756","0","0","","","","","","","","",""
"2018 General Election","BERKS","Governor","Statewide","Green","PAUL GLOVER","915","0","0","","","","","","","","",""
"2018 General Election","BERKS","Governor","Statewide","Libertarian","KEN V KRAWCHUK","1,619","0","0","","","","","","","","",""
"2018 General Election","BLAIR","United States Senator","Statewide","Democratic","BOB CASEY JR","14,599","0","0","","","","","","","","",""
"2018 General Election","BLAIR","United States Senator","Statewide","Republican","LOU BARLETTA","27,826","0","0","","","","","","","","",""
"2018 General Election","BLAIR","United States Senator","Statewide","Green","NEAL GALE","258","0","0","","","","","","","","",""
"2018 General Election","BLAIR","United States Senator","Statewide","Libertarian","DALE R KERNS JR","482","0","0","","","","","","","","",""
"2018 General Election","BLAIR","Governor","Statewide","Democratic","TOM WOLF","14,622","0","0","","","","","","","","",""
"2018 General Election","BLAIR","Governor","Statewide","Republican","SCOTT R WAGNER","28,175","0","0","","","","","","","","",""
"2018 General Election","BLAIR","Governor","Statewide","Green","PAUL GLOVER","217","0","0","","","","","","","","",""
"2018 General Election","BLAIR","Governor","Statewide","Libertarian","KEN V KRAWCHUK","508","0","0","","","","","","","","",""
"2018 General Election","BRADFORD","United States Senator","Statewide","Democratic","BOB CASEY JR","6,926","0","0","","","","","","","","",""
