"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes","Election Day Votes","ElectionDay Yes Votes","Election Day No Votes","Mail Votes","Mail Yes Votes","Mail No Votes","Provisional Votes","Provisional Yes Votes","Provisional No Votes"
"2012 General Election","BUCKS","State Treasurer","StateWide","Libertarian","","6,697","0","0","","","","","","","","",""
"2012 General Election","BUTLER","Auditor General","StateWide","Republican","","55,778","0","0","","","","","","","","",""
"2012 General Election","BUTLER","Auditor General","StateWide","Democratic","","27,261","0","0","","","","","","","","",""
"2012 General Election","BUTLER","Auditor General","StateWide","Libertarian","","4,117","0","0","","","","","","","","",""
"2012 General Election","BUTLER","State Treasurer","StateWide","Republican","","53,187","0","0","","","","","","","","",""
"2012 General Election","BUTLER","State Treasurer","StateWide","Democratic","","29,589","0","0","","","","","","","","",""
"2012 General Election","BUTLER","State Treasurer","StateWide","Libertarian","","3,971","0","0","","","","","","","","",""
"2012 General Election","CAMBRIA","Auditor General","StateWide","Republican","","27,945","0","0","","","","","","","","",""
"2012 General Election","CAMBRIA","Auditor General","StateWide","Democratic","","27,281","0","0","","","","","","","","",""
"2012 General Election","CAMBRIA","Auditor General","StateWide","Libertarian","","3,565","0","0","","","","","","","","",""
"2012 General Election","CAMBRIA","State Treasurer","StateWide","Republican","","25,937","0","0","","","","","","","","",""
"2012 General Election","CAMBRIA","State Treasurer","StateWide","Democratic","","29,728","0","0","","","","","","","","",""
"2012 General Election","CAMBRIA","State Treasurer","StateWide","Libertarian","","2,922","0","0","","","","","","","","",""
"2012 General Election","CAMERON","Auditor General","StateWide","Republican","","1,219","0","0","","","","","","","","",""
"2012 General Election","CAMERON","Auditor General","StateWide","Democratic","","676","0","0","","","","","","","","",""
"2012 General Election","CAMERON","Auditor General","StateWide","Libertarian","","145","0","0","","","","","","","","",""
"2012 General Election","CAMERON","State Treasurer","StateWide","Republican","","1,147","0","0","","","","","","","","",""
"2012 General Election","CAMERON","State Treasurer","StateWide","Democratic","","768","0","0","","","","","","","","",""
"2012 General Election","CAMERON","State Treasurer","StateWide","Libertarian","","113","0","0","","","","","","","","",""
"2012 General Election","CARBON","Auditor General","StateWide","Republican","","11,973","0","0","","","","","","","","",""
"2012 General Election","CARBON","Auditor General","StateWide","Democratic","","10,659","0","0","","","","","","","","",""
"2012 General Election","CARBON","Auditor General","StateWide","Libertarian","","1,523","0","0","","","","","","","","",""
"2012 General Election","CARBON","State Treasurer","StateWide","Republican","","11,236","0","0","","","","","","","","",""
"2012 General Election","CARBON","State Treasurer","StateWide","Democratic","","11,608","0","0","","","","","","","","",""
"2012 General Election","CARBON","State Treasurer","StateWide","Libertarian","","1,220","0","0","","","","","","","","",""
"2012 General Election","CENTRE","Auditor General","StateWide","Republican","","32,438","0","0","","","","","","","","",""
"2012 General Election","CENTRE","Auditor General","StateWide","Democratic","","29,562","0","0","","","","","","","","",""
"2012 General Election","CENTRE","Auditor General","StateWide","Libertarian","","4,653","0","0","","","","","","","","",""
"2012 General Election","CENTRE","State Treasurer","StateWide","Republican","","30,532","0","0","","","","","","","","",""
"2012 General Election","CENTRE","State Treasurer","StateWide","Democratic","","31,946","0","0","","","","","","","","",""
"2012 General Election","CENTRE","State Treasurer","StateWide","Libertarian","","3,934","0","0","","","","","","","","",""
"2012 General Election","CHESTER","Auditor General","StateWide","Republican","","128,308","0","0","","","","","","","","",""
"2012 General Election","CHESTER","Auditor General","StateWide","Democratic","","104,263","0","0","","","","","","","","",""
"2012 General Election","CHESTER","Auditor General","StateWide","Libertarian","","11,573","0","0","","","","","","","","",""
"2012 General Election","CHESTER","State Treasurer","StateWide","Republican","","121,250","0","0","","","","","","","","",""
"2012 General Election","CHESTER","State Treasurer","StateWide","Democratic","","112,998","0","0","","","","","","","","",""
"2012 General Election","CHESTER","State Treasurer","StateWide","Libertarian","","9,750","0","0","","","","","","","","",""
"2012 General Election","CLARION","Auditor General","StateWide","Republican","","9,928","0","0","","","","","","","","",""
"2012 General Election","CLARION","Auditor General","StateWide","Democratic","","4,821","0","0","","","","","","","","",""
"2012 General Election","CLARION","Auditor General","StateWide","Libertarian","","1,036","0","0","","","","","","","","",""
"2012 General Election","CLARION","State Treasurer","StateWide","Republican","","9,162","0","0","","","","","","","","",""
"2012 General Election","CLARION","State Treasurer","StateWide","Democratic","","5,670","0","0","","","","","","","","",""
"2012 General Election","CLARION","State Treasurer","StateWide","Libertarian","","914","0","0","","","","","","","","",""
