"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes","Election Day Votes","ElectionDay Yes Votes","Election Day No Votes","Mail Votes","Mail Yes Votes","Mail No Votes","Provisional Votes","Provisional Yes Votes","Provisional No Votes"
"2022 General Election","ADAMS","United States Senator","Statewide","Democratic","JOHN FETTERMAN","16,096","0","0","9,242","0","0","6,780","0","0","74","0","0"
"2022 General Election","ADAMS","United States Senator","Statewide","Republican","MEHMET OZ","29,039","0","0","25,991","0","0","3,012","0","0","36","0","0"
"2022 General Election","ADAMS","United States Senator","Statewide","Libertarian","ERIK GERHARDT","704","0","0","565","0","0","139","0","0","0","0","0"
"2022 General Election","ADAMS","United States Senator","Statewide","Green Party","RICHARD L WEISS","289","0","0","200","0","0","87","0","0","2","0","0"
"2022 General Election","ADAMS","United States Senator","Statewide","Keystone","DANIEL WASSMER","291","0","0","210","0","0","81","0","0","0","0","0"
"2022 General Election","ADAMS","Governor","Statewide","Democratic","JOSH SHAPIRO","18,821","0","0","11,318","0","0","7,425","0","0","78","0","0"
"2022 General Election","ADAMS","Governor","Statewide","Republican","DOUGLAS V MASTRIANO","26,819","0","0","24,272","0","0","2,513","0","0","34","0","0"
"2022 General Election","ADAMS","Governor","Statewide","Libertarian","MATT HACKENBURG","467","0","0","378","0","0","88","0","0","1","0","0"
"2022 General Election","ADAMS","Governor","Statewide","Green Party","CHRISTINA DIGIULIO","160","0","0","118","0","0","42","0","0","0","0","0"
"2022 General Election","ADAMS","Governor","Statewide","Keystone","JOE SOLOSKI","192","0","0","140","0","0","52","0","0","0","0","0"
"2022 General Election","ALLEGHENY","United States Senator","Statewide","Democratic","JOHN FETTERMAN","363,873","0","0","224,055","0","0","134,156","0","0","5,662","0","0"
"2022 General Election","ALLEGHENY","United States Senator","Statewide","Republican","MEHMET OZ","200,632","0","0","175,810","0","0","23,502","0","0","1,320","0","0"
"2022 General Election","ALLEGHENY","United States Senator","Statewide","Libertarian","ERIK GERHARDT","5,190","0","0","3,983","0","0","1,144","0","0","63","0","0"
"2022 General Election","ALLEGHENY","United States Senator","Statewide","Green Party","RICHARD L WEISS","2,343","0","0","1,502","0","0","797","0","0","44","0","0"
"2022 General Election","ALLEGHENY","United States Senator","Statewide","Keystone","DANIEL WASSMER","1,671","0","0","1,158","0","0","488","0","0","25","0","0"
"2022 General Election","ALLEGHENY","Governor","Statewide","Democratic","JOSH SHAPIRO","393,386","0","0","246,843","0","0","140,701","0","0","5,842","0","0"
"2022 General Election","ALLEGHENY","Governor","Statewide","Republican","DOUGLAS V MASTRIANO","169,913","0","0","151,680","0","0","17,132","0","0","1,101","0","0"
"2022 General Election","ALLEGHENY","Governor","Statewide","Libertarian","MATT HACKENBURG","5,354","0","0","4,367","0","0","929","0","0","58","0","0"
"2022 General Election","ALLEGHENY","Governor","Statewide","Green Party","CHRISTINA DIGIULIO","2,319","0","0","1,606","0","0","669","0","0","44","0","0"
"2022 General Election","ALLEGHENY","Governor","Statewide","Keystone","JOE SOLOSKI","1,841","0","0","1,335","0","0","477","0","0","29","0","0"
"2022 General Election","ARMSTRONG","United States Senator","Statewide","Democratic","JOHN FETTERMAN","8,065","0","0","5,513","0","0","2,514","0","0","38","0","0"
"2022 General Election","ARMSTRONG","United States Senator","Statewide","Republican","MEHMET OZ","19,575","0","0","18,425","0","0","1,112","0","0","38","0","0"
"2022 General Election","ARMSTRONG","United States Senator","Statewide","Libertarian","ERIK GERHARDT","465","0","0","395","0","0","70","0","0","0","0","0"
"2022 General Election","ARMSTRONG","United States Senator","Statewide","Green Party","RICHARD L WEISS","131","0","0","102","0","0","28","0","0","1","0","0"
"2022 General Election","ARMSTRONG","United States Senator","Statewide","Keystone","DANIEL WASSMER","177","0","0","144","0","0","33","0","0","0","0","0"
"2022 General Election","ARMSTRONG","Governor","Statewide","Democratic","JOSH SHAPIRO","9,523","0","0","6,715","0","0","2,764","0","0","44","0","0"
"2022 General Election","ARMSTRONG","Governor","Statewide","Republican","DOUGLAS V MASTRIANO","18,419","0","0","17,437","0","0","951","0","0","31","0","0"
"2022 General Election","ARMSTRONG","Governor","Statewide","Libertarian","MATT HACKENBURG","265","0","0","246","0","0","17","0","0","2","0","0"
"2022 General Election","ARMSTRONG","Governor","Statewide","Green Party","CHRISTINA DIGIULIO","88","0","0","64","0","0","24","0","0","0","0","0"
"2022 General Election","ARMSTRONG","Governor","Statewide","Keystone","JOE SOLOSKI","162","0","0","138","0","0","23","0","0","1","0","0"
"2022 General Election","BEAVER","United States Senator","Statewide","Democratic","JOHN FETTERMAN","32,692","0","0","21,391","0","0","11,105","0","0","196","0","0"
"2022 General Election","BEAVER","United States Senator","Statewide","Republican","MEHMET OZ","38,772","0","0","35,505","0","0","3,187","0","0","80","0","0"
"2022 General Election","BEAVER","United States Senator","Statewide","Libertarian","ERIK GERHARDT","1,143","0","0","948","0","0","193","0","0","2","0","0"
"2022 General Election","BEAVER","United States Senator","Statewide","Green Party","RICHARD L WEISS","410","0","0","303","0","0","105","0","0","2","0","0"
"2022 General Election","BEAVER","United States Senator","Statewide","Keystone","DANIEL WASSMER","426","0","0","335","0","0","91","0","0","0","0","0"
"2022 General Election","BEAVER","Governor","Statewide","Democratic","JOSH SHAPIRO","36,917","0","0","24,966","0","0","11,752","0","0","199","0","0"
"2022 General Election","BEAVER","Governor","Statewide","Republican","DOUGLAS V MASTRIANO","34,777","0","0","32,201","0","0","2,512","0","0","64","0","0"
"2022 General Election","BEAVER","Governor","Statewide","Libertarian","MATT HACKENBURG","811","0","0","697","0","0","108","0","0","6","0","0"
"2022 General Election","BEAVER","Governor","Statewide","Green Party","CHRISTINA DIGIULIO","386","0","0","292","0","0","91","0","0","3","0","0"
"2022 General Election","BEAVER","Governor","Statewide","Keystone","JOE SOLOSKI","371","0","0","300","0","0","68","0","0","3","0","0"
