"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes","Election Day Votes","ElectionDay Yes Votes","Election Day No Votes","Mail Votes","Mail Yes Votes","Mail No Votes","Provisional Votes","Provisional Yes Votes","Provisional No Votes"
"2016 Presidential Election","ADAMS","Auditor General","Statewide","Democratic","EUGENE A DEPASQUALE","15,424","0","0","","","","","","","","",""
"2016 Presidential Election","ADAMS","Auditor General","Statewide","Republican","JOHN BROWN","28,214","0","0","","","","","","","","",""
"2016 Presidential Election","ADAMS","Auditor General","Statewide","Green","JOHN J SWEENEY","1,626","0","0","","","","","","","","",""
"2016 Presidential Election","ADAMS","Auditor General","Statewide","Libertarian","ROY A MINET","1,436","0","0","","","","","","","","",""
"2016 Presidential Election","ADAMS","State Treasurer","Statewide","Democratic","JOE TORSELLA","14,566","0","0","","","","","","","","",""
"2016 Presidential Election","ADAMS","State Treasurer","Statewide","Republican","OTTO VOIT","28,448","0","0","","","","","","","","",""
"2016 Presidential Election","ADAMS","State Treasurer","Statewide","Green","KRISTIN COMBS","2,127","0","0","","","","","","","","",""
"2016 Presidential Election","ADAMS","State Treasurer","Statewide","Libertarian","JAMES BABB","1,446","0","0","","","","","","","","",""
"2016 Presidential Election","ALLEGHENY","Auditor General","Statewide","Democratic","EUGENE A DEPASQUALE","395,006","0","0","","","","","","","","",""
"2016 Presidential Election","ALLEGHENY","Auditor General","Statewide","Republican","JOHN BROWN","207,495","0","0","","","","","","","","",""
"2016 Presidential Election","ALLEGHENY","Auditor General","Statewide","Green","JOHN J SWEENEY","16,103","0","0","","","","","","","","",""
"2016 Presidential Election","ALLEGHENY","Auditor General","Statewide","Libertarian","ROY A MINET","15,989","0","0","","","","","","","","",""
"2016 Presidential Election","ALLEGHENY","State Treasurer","Statewide","Democratic","JOE TORSELLA","375,667","0","0","","","","","","","","",""
"2016 Presidential Election","ALLEGHENY","State Treasurer","Statewide","Republican","OTTO VOIT","218,201","0","0","","","","","","","","",""
"2016 Presidential Election","ALLEGHENY","State Treasurer","Statewide","Green","KRISTIN COMBS","20,223","0","0","","","","","","","","",""
"2016 Presidential Election","ALLEGHENY","State Treasurer","Statewide","Libertarian","JAMES BABB","16,715","0","0","","","","","","","","",""
"2016 Presidential Election","ARMSTRONG","Auditor General","Statewide","Democratic","EUGENE A DEPASQUALE","10,932","0","0","","","","","","","","",""
"2016 Presidential Election","ARMSTRONG","Auditor General","Statewide","Republican","JOHN BROWN","17,960","0","0","","","","","","","","",""
"2016 Presidential Election","ARMSTRONG","Auditor General","Statewide","Green","JOHN J SWEENEY","1,052","0","0","","","","","","","","",""
"2016 Presidential Election","ARMSTRONG","Auditor General","Statewide","Libertarian","ROY A MINET","809","0","0","","","","","","","","",""
"2016 Presidential Election","ARMSTRONG","State Treasurer","Statewide","Democratic","JOE TORSELLA","10,810","0","0","","","","","","","","",""
"2016 Presidential Election","ARMSTRONG","State Treasurer","Statewide","Republican","OTTO VOIT","17,773","0","0","","","","","","","","",""
"2016 Presidential Election","ARMSTRONG","State Treasurer","Statewide","Green","KRISTIN COMBS","1,180","0","0","","","","","","","","",""
"2016 Presidential Election","ARMSTRONG","State Treasurer","Statewide","Libertarian","JAMES BABB","900","0","0","","","","","","","","",""
"2016 Presidential Election","BEAVER","Auditor General","Statewide","Democratic","EUGENE A DEPASQUALE","40,801","0","0","","","","","","","","",""
"2016 Presidential Election","BEAVER","Auditor General","Statewide","Republican","JOHN BROWN","36,890","0","0","","","","","","","","",""
"2016 Presidential Election","BEAVER","Auditor General","Statewide","Green","JOHN J SWEENEY","2,330","0","0","","","","","","","","",""
"2016 Presidential Election","BEAVER","Auditor General","Statewide","Libertarian","ROY A MINET","2,341","0","0","","","","","","","","",""
"2016 Presidential Election","BEAVER","State Treasurer","Statewide","Democratic","JOE TORSELLA","39,494","0","0","","","","","","","","",""
"2016 Presidential Election","BEAVER","State Treasurer","Statewide","Republican","OTTO VOIT","37,090","0","0","","","","","","","","",""
"2016 Presidential Election","BEAVER","State Treasurer","Statewide","Green","KRISTIN COMBS","2,984","0","0","","","","","","","","",""
"2016 Presidential Election","BEAVER","State Treasurer","Statewide","Libertarian","JAMES BABB","2,473","0","0","","","","","","","","",""
"2016 Presidential Election","BEDFORD","Auditor General","Statewide","Democratic","EUGENE A DEPASQUALE","5,176","0","0","","","","","","","","",""
"2016 Presidential Election","BEDFORD","Auditor General","Statewide","Republican","JOHN BROWN","16,519","0","0","","","","","","","","",""
"2016 Presidential Election","BEDFORD","Auditor General","Statewide","Green","JOHN J SWEENEY","718","0","0","","","","","","","","",""
"2016 Presidential Election","BEDFORD","Auditor General","Statewide","Libertarian","ROY A MINET","628","0","0","","","","","","","","",""
"2016 Presidential Election","BEDFORD","State Treasurer","Statewide","Democratic","JOE TORSELLA","5,074","0","0","","","","","","","","",""
"2016 Presidential Election","BEDFORD","State Treasurer","Statewide","Republican","OTTO VOIT","16,286","0","0","","","","","","","","",""
"2016 Presidential Election","BEDFORD","State Treasurer","Statewide","Green","KRISTIN COMBS","881","0","0","","","","","","","","",""
"2016 Presidential Election","BEDFORD","State Treasurer","Statewide","Libertarian","JAMES BABB","596","0","0","","","","","","","","",""
"2016 Presidential Election","BERKS","Auditor General","Statewide","Democratic","EUGENE A DEPASQUALE","73,201","0","0","","","","","","","","",""
